,code,company_name,url,raw_code,market
0,SZ000001,平安银行,https://hq.gucheng.com/SZ000001/,000001,SZ
1,SZ000002,万科A,https://hq.gucheng.com/SZ000002/,000002,SZ
2,SZ000004,国农科技,https://hq.gucheng.com/SZ000004/,000004,SZ
3,SZ000005,世纪星源,https://hq.gucheng.com/SZ000005/,000005,SZ
4,SZ000006,深振业A,https://hq.gucheng.com/SZ000006/,000006,SZ
5,SZ000007,全新好,https://hq.gucheng.com/SZ000007/,000007,SZ
6,SZ000008,神州高铁,https://hq.gucheng.com/SZ000008/,000008,SZ
7,SZ000009,中国宝安,https://hq.gucheng.com/SZ000009/,000009,SZ
8,SZ000010,美丽生态,https://hq.gucheng.com/SZ000010/,000010,SZ
9,SZ000011,深物业A,https://hq.gucheng.com/SZ000011/,000011,SZ
10,SZ000012,南玻A,https://hq.gucheng.com/SZ000012/,000012,SZ
11,SZ000014,沙河股份,https://hq.gucheng.com/SZ000014/,000014,SZ
12,SZ000016,深康佳A,https://hq.gucheng.com/SZ000016/,000016,SZ
13,SZ000017,深中华A,https://hq.gucheng.com/SZ000017/,000017,SZ
14,SZ000018,神州长城,https://hq.gucheng.com/SZ000018/,000018,SZ
15,SZ000019,深深宝A,https://hq.gucheng.com/SZ000019/,000019,SZ
16,SZ000020,深华发A,https://hq.gucheng.com/SZ000020/,000020,SZ
17,SZ000021,深科技,https://hq.gucheng.com/SZ000021/,000021,SZ
18,SZ000022,深赤湾A,https://hq.gucheng.com/SZ000022/,000022,SZ
19,SZ000023,深天地A,https://hq.gucheng.com/SZ000023/,000023,SZ
20,SZ000025,特力A,https://hq.gucheng.com/SZ000025/,000025,SZ
21,SZ000026,飞亚达A,https://hq.gucheng.com/SZ000026/,000026,SZ
22,SZ000027,深圳能源,https://hq.gucheng.com/SZ000027/,000027,SZ
23,SZ000028,国药一致,https://hq.gucheng.com/SZ000028/,000028,SZ
24,SZ000029,深深房A,https://hq.gucheng.com/SZ000029/,000029,SZ
25,SZ000030,富奥股份,https://hq.gucheng.com/SZ000030/,000030,SZ
26,SZ000031,中粮地产,https://hq.gucheng.com/SZ000031/,000031,SZ
27,SZ000032,深桑达A,https://hq.gucheng.com/SZ000032/,000032,SZ
28,SZ000034,神州数码,https://hq.gucheng.com/SZ000034/,000034,SZ
29,SZ000035,中国天楹,https://hq.gucheng.com/SZ000035/,000035,SZ
30,SZ000036,华联控股,https://hq.gucheng.com/SZ000036/,000036,SZ
31,SZ000037,深南电A,https://hq.gucheng.com/SZ000037/,000037,SZ
32,SZ000038,深大通,https://hq.gucheng.com/SZ000038/,000038,SZ
33,SZ000039,中集集团,https://hq.gucheng.com/SZ000039/,000039,SZ
34,SZ000040,东旭蓝天,https://hq.gucheng.com/SZ000040/,000040,SZ
35,SZ000042,中洲控股,https://hq.gucheng.com/SZ000042/,000042,SZ
36,SZ000043,中航善达,https://hq.gucheng.com/SZ000043/,000043,SZ
37,SZ000045,深纺织A,https://hq.gucheng.com/SZ000045/,000045,SZ
38,SZ000046,泛海控股,https://hq.gucheng.com/SZ000046/,000046,SZ
39,SZ000048,*ST康达,https://hq.gucheng.com/SZ000048/,000048,SZ
40,SZ000049,德赛电池,https://hq.gucheng.com/SZ000049/,000049,SZ
41,SZ000050,深天马A,https://hq.gucheng.com/SZ000050/,000050,SZ
42,SZ000055,方大集团,https://hq.gucheng.com/SZ000055/,000055,SZ
43,SZ000056,皇庭国际,https://hq.gucheng.com/SZ000056/,000056,SZ
44,SZ000058,深赛格,https://hq.gucheng.com/SZ000058/,000058,SZ
45,SZ000059,华锦股份,https://hq.gucheng.com/SZ000059/,000059,SZ
46,SZ000060,中金岭南,https://hq.gucheng.com/SZ000060/,000060,SZ
47,SZ000061,农产品,https://hq.gucheng.com/SZ000061/,000061,SZ
48,SZ000062,深圳华强,https://hq.gucheng.com/SZ000062/,000062,SZ
